"","player_id","average_rank","weight_kg","height_cm","average_tourneys_played","average_age","backhand","handedness"
"83","ca82",1115.92,70,185,5.88,28.52,"Two-Handed Backhand","Left-Handed"
"84","ca99",98.6190476190476,86,191,22.5,26.1190476190476,"One-Handed Backhand","Right-Handed"
"85","cc32",250.166666666667,79,183,24.7857142857143,24,"Two-Handed Backhand","Right-Handed"
"86","cc54",568.190476190476,75,185,18.1428571428571,26,"Two-Handed Backhand","Right-Handed"
"87","cc66",303.571428571429,80,185,25.6666666666667,24.9047619047619,"Two-Handed Backhand","Left-Handed"
"88","cd85",17.8095238095238,78,188,25.5,25.4285714285714,"Two-Handed Backhand","Right-Handed"
"89","cd94",1046.3,84,183,4.7,24.4,"One-Handed Backhand","Right-Handed"
"90","ce81",915.071428571429,75,183,18.0238095238095,22.8809523809524,"Two-Handed Backhand","Right-Handed"
"91","ce98",1746.375,80,183,10.2916666666667,23.9166666666667,"Two-Handed Backhand","Right-Handed"
"92","cf01",130.333333333333,78,185,24.8809523809524,24.1904761904762,"One-Handed Backhand","Right-Handed"
"93","cf05",1907.28571428571,70,175,4.64285714285714,22.452380952381,"Two-Handed Backhand","Right-Handed"
"94","cf25",1216.45238095238,81,198,13.7142857142857,23.2142857142857,"Two-Handed Backhand","Left-Handed"
"95","cf59",126.404761904762,76,180,27.3333333333333,23.7619047619048,"Two-Handed Backhand","Right-Handed"
"96","cg07",456.02380952381,76,178,19.7619047619048,22.9047619047619,"Two-Handed Backhand","Right-Handed"
"97","cg33",223.214285714286,68,180,24.1428571428571,22.8809523809524,"Two-Handed Backhand","Right-Handed"
"98","cg80",53.1190476190476,79,185,22.6190476190476,20.0238095238095,"Two-Handed Backhand","Right-Handed"
"99","ch05",455.333333333333,72,185,25.1666666666667,20.2619047619048,"Two-Handed Backhand","Right-Handed"
"100","ch12",496.261904761905,80,196,23.3333333333333,20.547619047619,"Two-Handed Backhand","Right-Handed"
"101","ch27",68.3809523809524,87,188,18.8095238095238,20.5952380952381,"Two-Handed Backhand","Right-Handed"
"102","ch84",1222.92857142857,78,180,17.1428571428571,19.7619047619048,"One-Handed Backhand","Right-Handed"
"103","ci14",377.142857142857,80,183,24.2142857142857,18.3809523809524,"Two-Handed Backhand","Right-Handed"
"104","cm88",1411.71428571429,68,175,10.5238095238095,20.2857142857143,"Two-Handed Backhand","Right-Handed"
"105","d499",304.333333333333,79,185,16.6190476190476,32.1904761904762,"One-Handed Backhand","Right-Handed"
"106","d616",1315.8,73,180,1.4,31.5,"Two-Handed Backhand","Right-Handed"
"107","d632",60.5714285714286,77,178,21.4761904761905,32.7857142857143,"One-Handed Backhand","Right-Handed"
"108","d643",4.23809523809524,77,188,16.4761904761905,29.5952380952381,"Two-Handed Backhand","Right-Handed"
"109","d646",280.809523809524,83,183,11.8095238095238,32,"Two-Handed Backhand","Right-Handed"
"110","d683",29.6190476190476,97,198,15.7619047619048,28.2142857142857,"Two-Handed Backhand","Right-Handed"
"111","d750",151.190476190476,104,203,27,29.5714285714286,"One-Handed Backhand","Left-Handed"
"112","d776",428.5,83,193,12.1190476190476,28.2142857142857,"Two-Handed Backhand","Right-Handed"
"113","d787",1044.4,82,178,1.8,29,"Two-Handed Backhand","Right-Handed"
"114","d801",64.9761904761905,71,180,20.1190476190476,28.047619047619,"Two-Handed Backhand","Right-Handed"
"115","d815",662.785714285714,78,178,14.9047619047619,28,"One-Handed Backhand","Right-Handed"
"116","d833",1208.26315789474,86,191,1,27.8421052631579,"One-Handed Backhand","Right-Handed"
"117","d862",1268.80952380952,86,193,1.57142857142857,28.7857142857143,"One-Handed Backhand","Right-Handed"
"118","d864",98.2857142857143,74,185,29.1428571428571,26.6190476190476,"Two-Handed Backhand","Right-Handed"
"119","d868",675.904761904762,71,178,19.547619047619,26.7857142857143,"Two-Handed Backhand","Right-Handed"
"120","d874",74.5952380952381,88,191,20.4285714285714,26.1666666666667,"Two-Handed Backhand","Left-Handed"
